title,longitude,latitude,coord_type,view_count,going_count,gone_count,scene_layer,score,tags,desc,star,ak,geotable_id
北京,116.393525,39.969654,3,10609922,8705,50363,4,32,yazhou zhongguo 3004 3008 3009 3010 3023 3025 3026 3027 3032 4001 4010 4011 4015 4022 4023 2001 1001 1018 4021 4027 6012 4017 4018 6006 4019 4002 4003 4004 4005 4006 4007 4008 4012 4013 4014 4016 3006 3030 3007 3021 3013 3003 3018 4009 3031 3002 3012 3029 2002 500,表面上它是现代大都会，但内心却有抹不去的古朴和怀旧。闲庭信步在逐渐少去的胡同里，走进那热气腾腾的涮肉店，那才是真正的北京。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
天津,117.203914,39.12378,3,5082202,3897,25085,4,8,yazhou zhongguo 3003 3029 3032 4020 4014 4015 4016 4017 4018 4019 4022 4023 4024 4025 4026 2001 1001 1005 1018 4021 6012 6004 4001 4002 4003 4004 4005 4006 4007 4008 4010 4011 4012 4013 3025 3004 3021 3013 3010 3009 3001 3002 3018 4009 3008 3031 4027 500,海河之畔的一颗渤海明珠，这座中国北方第一大港口，既带有西方殖民时代的烙印、又饱含传统的中华民俗。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
大连,121.610725,38.923564,3,4270253,4020,15445,4,40,yazhou zhongguo liaoning 3002 3003 3029 3032 4020 4005 4006 4007 4008 4010 4014 4015 4019 4022 4023 2001 1001 1005 6002 4021 4027 4017 4018 6008 6004 4001 4002 4003 4011 4016 3006 1021 3030 3020 3010 3021 3013 1004 3009 3001 3018 2109 4009 3004 3031 500,白色的栅栏、金色的沙滩、大片的绿地和数不清的广场，与黄海一起汇聚出花园般的浪漫之地。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
泰山,117.126447,36.21818186,3,4196168,4793,12461,5,40,yazhou zhongguo shandong taian 3003 3014 3029 4020 4005 4003 4006 4007 4008 4010 4014 4015 4019 4022 4023 2001 1017 1020 4021 4017 6010 4018 6006 6008 4004 4011 3007 3023 3013 3002 3018 4009 3004 3008 3031 7001 7005 503,中国五岳之首，其特点为多松柏、多溪泉，多云雾。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
济南,116.986448,36.686489,3,2649952,1626,15847,4,25,yazhou zhongguo shandong 2001 4021 4023 4027 6012 4017 6010 4018 6006 4019 6004 4003 4004 4005 4006 4007 4022 4008 4010 4011 4012 4014 4015 4016 3013 3007 3003 3002 3018 3015 1001 6008 4001 4002 500,济南素有“天下泉城”的美誉，是个文化底蕴很深厚的城市。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
北戴河,119.451735,39.848554,3,2228637,2145,11886,5,40,yazhou zhongguo hebei qinhuangdao 4020 4005 4006 4007 4008 4009 4014 4015 4019 4022 4023 4025 2001 1005 1020 4021 6008 6004 3020 1004 4027 3003 3018 3002 3008 4004 4010 4013 1021 3031 7001 7003 7006 502,曲折平坦的沙质海滩沙软潮平;树木葱郁自然环境优美。这里历史厚重近百年来在中国政治舞台上具有特殊地位。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
故宫,116.403426,39.9240821,3,2164267,1920,3579,6,28,yazhou zhongguo beijing 2001 3003 7001 7003 7006 7005 504,明清两代24位皇帝的皇宫，无与伦比的古代建筑杰作。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
山东,117.027093,36.674416,3,1920793,1618,18743,3,1,yazhou zhongguo 2001 3003 3009 3029 508,婀娜多姿的海滨之城，巍峨大气的山川之巅，如梦如幻的蓬莱仙境，文人笔下温情的济南，热情豪爽的山东人用质朴而多彩的方式欢迎八方来客。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
颐和园,116.27487,39.99847504,3,1884347,1542,2833,6,25,yazhou zhongguo beijing 2001 7001 7003 7006 7005 504,我国现存规模最大、保存最完整的皇家园林，久负盛名。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
秦皇岛,119.599769,39.942807,3,1824251,1699,11175,4,36,yazhou zhongguo hebei 4020 4005 4004 4006 4007 4008 4014 4015 4022 4023 4025 2001 1005 4021 4001 4016 1004 4027 4009 3002 3003 3008 3031 4010 4013 4019 1001 1021 500,海边日出特别美，北方最好的海和沙滩。气候真好，翡翠岛挺好玩的。,5,Ow5fqi6DQXmgD5PGSB7QBdHF,106996
