title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id
南锣鼓巷,116.409683,39.93984,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdnanluoguxiang.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北海北,116.39289,39.939493,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdbeihaibei.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
什刹海,116.391622,39.940498,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdshishahai.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
张自忠路,116.423573,39.939914,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdzhangzizhonglu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
鼓楼大街,116.40011,39.954724,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdguloudajie.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北新桥,116.423298,39.947112,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdbeixinqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四,116.423979,39.930667,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zddongsi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安定门,116.414597,39.955441,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdandingmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
平安里,116.378635,39.939264,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdpinganli.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西四,116.37993,39.930036,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdxisi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
灯市口,116.424169,39.923603,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zddengshikou.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
雍和宫,116.42312,39.955113,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdyonghegong.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
天安门东,116.407851,39.91408,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdtiananmendong.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
新街口,116.374132,39.94658,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdxinjiekou.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
灵境胡同,116.380223,39.922136,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdlingjinghutong.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
天安门西,116.39805,39.913776,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdtiananmenxi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
积水潭,116.379185,39.954765,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdjishuitan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
王府井,116.417796,39.914398,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdwangfujing.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四十条,116.440638,39.939841,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zddongsishitiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
朝阳门,116.440635,39.930549,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdchaoyangmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东单,116.425249,39.914504,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zddongdan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东直门,116.441146,39.948223,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zddongzhimen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
和平里北街,116.425051,39.964752,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdhepinglibeijie.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西单,116.382001,39.913329,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdxidan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
前门,116.404276,39.906534,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdqianmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
车公庄,116.361834,39.938351,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdchegongzhuang.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
车公庄西,116.36169,39.938656,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdchegongzhuangxi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
阜成门,116.362817,39.929522,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdfuchengmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
和平门,116.390619,39.906362,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdhepingmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西直门,116.361442,39.946436,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdxizhimen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
崇文门,116.424439,39.906953,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdchongwenmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北京站,116.433608,39.911127,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdbeijingzhan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安华桥,116.401029,39.974865,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdanhuaqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
柳芳,116.439265,39.964106,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdliufang.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
建国门,116.441789,39.914505,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdjianguomen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
宣武门,116.380848,39.905881,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdxuanwumen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
和平西桥,116.424463,39.974502,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdhepingxiqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
复兴门,116.363762,39.913025,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdfuxinmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
