title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id,poiID
"地安门东",116.40435,39.9398,38,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289003.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137560
"地安门内",116.4027,39.93921,11,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288833.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137574
"地安门外",116.40257,39.94139,37,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289537.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137590
"南锣鼓巷",116.40954,39.94013,15,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295202.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137604
"景山后街",116.40187,39.93473,40,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288832.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137612
"锣鼓巷",116.41106,39.93981,14,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289002.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137624
"景山东街",116.40588,39.93337,39,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289926.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137630
"北海北",116.39783,39.93997,17,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295201.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137644
"北海北门",116.39768,39.93974,42,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289004.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137658
"东黄城根北口",116.41214,39.93881,16,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289534.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137670
"亮果厂",116.41238,39.9357,41,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289533.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137686
"鼓楼(南)",116.4024,39.94506,19,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288834.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137700
"鼓楼",116.40238,39.94506,45,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station292396.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137718
"西板桥",116.39997,39.93279,18,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288831.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137731
"宽街路口南",116.41532,39.93928,44,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288812.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137743
"景山东门",116.40603,39.93017,4,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289925.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137757
"宝钞胡同",116.4057,39.94716,29,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289910.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137769
"宽街路口东",116.41592,39.9398,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289001.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137780
"北兵马司",116.41514,39.94288,28,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289894.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137792
